id,zizum_name,sido,sigungu,sangse_juso,phone_number,image,restaurant_id,restaurant_name,created_at,updated_at
19,수원영통구청딜리버리,경기도,수원시,영통구 효원로 383,031-217-7772,,1,서브웨이,2019-01-22 04:34:32.234113,2019-01-22 04:34:32.234113
20,정동딜리버리,서울특별시,중구,새문안로 30,02-737-0808,,1,서브웨이,2019-01-22 04:34:32.312086,2019-01-22 04:34:32.312086
21,숭례문딜리버리,서울특별시,중구,세종대로 26-1,02-318-7070,,1,서브웨이,2019-01-22 04:34:32.605519,2019-01-22 04:34:32.605519
22,오산대역딜리버리,경기도,오산시,내삼미로 89,031-378-8004,,1,서브웨이,2019-01-22 04:34:32.671768,2019-01-22 04:34:32.671768
23,서판교딜리버리,경기도,성남시,분당구 운중로 142 판교메디컬타워 1층,031-707-7911,,1,서브웨이,2019-01-22 04:34:32.734861,2019-01-22 04:34:32.734861
24,김포풍무역딜리버리,경기도,김포시,풍무1로 65-1 풍무시티프라자,031-984-0606,,1,서브웨이,2019-01-22 04:34:32.786145,2019-01-22 04:34:32.786145
25,여의도화재보험딜리버리,서울특별시,영등포구,국제금융로 6길 38,02-6951-1118,,1,서브웨이,2019-01-22 04:34:32.866114,2019-01-22 04:34:32.866114
26,경북대북문딜리버리,대구광역시,북구,대학로 87,053-951-7802,,1,서브웨이,2019-01-22 04:34:32.926287,2019-01-22 04:34:32.926287
27,선정릉역딜리버리,서울특별시,강남구,봉은사로 328,02-555-9389 ,,1,서브웨이,2019-01-22 04:34:32.971838,2019-01-22 04:34:32.971838
28,부산벡스코딜리버리,부산광역시,해운대구,센텀1로 17 센텀프리미어호텔 108호,051-741-6778,,1,서브웨이,2019-01-22 04:34:33.036706,2019-01-22 04:34:33.036706
29,약수역딜리버리,서울특별시,중구,다산로 153,02-2256-9891,,1,서브웨이,2019-01-22 04:34:33.106573,2019-01-22 04:34:33.106573
30,동대문역딜리버리,서울특별시,종로구,종로 263-1,02-747-9809,,1,서브웨이,2019-01-22 04:34:33.196613,2019-01-22 04:34:33.196613
31,장안사거리딜리버리,제주특별자치시,답십리로 293,,02-3390-4970,,1,서브웨이,2019-01-22 04:34:33.513070,2019-01-22 04:34:33.513070
32,천안충무로딜리버리,충청남도,천안시,서북구 충무로 201,041-579-4321,,1,서브웨이,2019-01-22 04:34:33.588035,2019-01-22 04:34:33.588035
33,용인기흥구청딜리버리,경기도,용인시,기흥구 구갈로 71-18 기흥더샵프라임뷰,031-284-3161,,1,서브웨이,2019-01-22 04:34:33.651220,2019-01-22 04:34:33.651220
34,광교경기대후문딜리버리,경기도,수원시,영통구 대학로 34,070-7750-2040,,1,서브웨이,2019-01-22 04:34:33.738434,2019-01-22 04:34:33.738434
35,군자역딜리버리,서울특별시,광진구,능동로 290 삼일빌딩,02-456-6444,,1,서브웨이,2019-01-22 04:34:33.843296,2019-01-22 04:34:33.843296
36,신설동역딜리버리,제주특별자치시,왕산로 15-1,,02-928-0258,,1,서브웨이,2019-01-22 04:34:33.928341,2019-01-22 04:34:33.928341
37,시흥대야딜리버리,경기도,시흥시,비둘기공원로 21 대야하이빌,031-317-4901,,1,서브웨이,2019-01-22 04:34:33.988078,2019-01-22 04:34:33.988078
38,부산범일딜리버리,부산광역시,동구,조방로 14 동일타워 124호,051-921-1375,,1,서브웨이,2019-01-22 04:34:34.074174,2019-01-22 04:34:34.074174
39,동양미래대딜리버리,서울특별시,구로구,경인로 445 동양미래대 8호관,02-2686-6890,,1,서브웨이,2019-01-22 04:34:34.173897,2019-01-22 04:34:34.173897
40,인천서구청딜리버리,인천광역시,서구,탁옥로 50,032-565-2481,,1,서브웨이,2019-01-22 04:34:34.249401,2019-01-22 04:34:34.249401
41,성남단대오거리역딜리버리,경기도,성남시,중원구 산성대로372번길 10,031-732-1137,,1,서브웨이,2019-01-22 04:34:34.558262,2019-01-22 04:34:34.558262
42,고덕역딜리버리,서울특별시,강동구,동남로 75길 13-10,02-427-0217,,1,서브웨이,2019-01-22 04:34:34.621861,2019-01-22 04:34:34.621861
43,진주평거탑마트딜리버리,경상남도,진주시,새평거로 136,055-748-0185,,1,서브웨이,2019-01-22 04:34:34.704387,2019-01-22 04:34:34.704387
44,대전은행딜리버리,대전광역시,중구,대종로 488번길 25,042-221-7050,,1,서브웨이,2019-01-22 04:34:34.775378,2019-01-22 04:34:34.775378
45,수원호매실딜리버리,경기도,수원시,권선구 금곡로 204,031-292-4862,,1,서브웨이,2019-01-22 04:34:34.837777,2019-01-22 04:34:34.837777
46,상암DMC푸르지오시티딜리버리,서울특별시,마포구,월드컵북로54길 25 상암DMC 푸르지오시티 103호,02-303-4566,,1,서브웨이,2019-01-22 04:34:34.907592,2019-01-22 04:34:34.907592
47,광장딜리버리,서울특별시,광진구,아차산로 480,02-455-2224,,1,서브웨이,2019-01-22 04:34:34.969369,2019-01-22 04:34:34.969369
48,광주충장로딜리버리,광주광역시,동구,중앙로 160번길 31-18,062-236-1121,,1,서브웨이,2019-01-22 04:34:35.030153,2019-01-22 04:34:35.030153
49,청주충북대딜리버리,충청북도,청주시,서원구 1순환로 676,043-267-7578,,1,서브웨이,2019-01-22 04:34:35.088111,2019-01-22 04:34:35.088111
50,제주시청딜리버리,제주특별자치시,제주시,중앙로 252,064-759-7739,,1,서브웨이,2019-01-22 04:34:35.160418,2019-01-22 04:34:35.160418
51,제주연동신시가지딜리버리,제주특별자치시,제주시,국기로 1길 2,064-711-1128,,1,서브웨이,2019-01-22 04:34:35.467420,2019-01-22 04:34:35.467420
52,군산딜리버리,전라북도,군산시,공단대로 374번지,063-464-1234,,1,서브웨이,2019-01-22 04:34:35.531707,2019-01-22 04:34:35.531707
53,청주대딜리버리,충청북도,청주시,청원구 대성로 301,043-252-8184,,1,서브웨이,2019-01-22 04:34:35.600983,2019-01-22 04:34:35.600983
54,동두천딜리버리,경기도,동두천시,평화로 2552-1,031-863-2270,,1,서브웨이,2019-01-22 04:34:35.635428,2019-01-22 04:34:35.635428
55,대구동성로24시간,대구광역시,중구,국채보상로 598 딜리버리,053-255-6841,,1,서브웨이,2019-01-22 04:34:35.725568,2019-01-22 04:34:35.725568
56,부산대연딜리버리,부산광역시,남구,수영로 246,051-612-7976,,1,서브웨이,2019-01-22 04:34:35.803243,2019-01-22 04:34:35.803243
57,부산진역딜리버리,부산광역시,동구,중앙대로 365,051-442-4142,,1,서브웨이,2019-01-22 04:34:35.851817,2019-01-22 04:34:35.851817
58,부산토곡딜리버리,부산광역시,연제구,과정로 237번길 119,051-753-6005,,1,서브웨이,2019-01-22 04:34:35.912079,2019-01-22 04:34:35.912079
59,부산장전역딜리버리,부산광역시,금정구,중앙대로 1719번길 30,051-704-3535,,1,서브웨이,2019-01-22 04:34:35.964414,2019-01-22 04:34:35.964414
60,부산영도딜리버리,부산광역시,영도구,태종로 107,051-417-7852,,1,서브웨이,2019-01-22 04:34:36.024951,2019-01-22 04:34:36.024951
61,김해장유딜리버리,경상남도,김해시,능동로 149번길 8,055-338-1263,,1,서브웨이,2019-01-22 04:34:36.523552,2019-01-22 04:34:36.523552
62,부산남천딜리버리,부산광역시,수영구,수영로 462,051-612-2231 ,,1,서브웨이,2019-01-22 04:34:36.609373,2019-01-22 04:34:36.609373
63,부산명륜딜리버리,부산광역시,동래구,명륜로 187번길 49,051-558-3210 ,,1,서브웨이,2019-01-22 04:34:36.669211,2019-01-22 04:34:36.669211
64,김해진영딜리버리,경상남도,김해시,진영읍 김해대로361번길 16,055-342-8781,,1,서브웨이,2019-01-22 04:34:36.747258,2019-01-22 04:34:36.747258
65,부산시청딜리버리,부산광역시,연제구,중앙대로 1043,051-868-4140,,1,서브웨이,2019-01-22 04:34:36.821470,2019-01-22 04:34:36.821470
66,부산부민딜리버리,부산광역시,서구,구덕로 226번길 3,051-254-6383,,1,서브웨이,2019-01-22 04:34:36.878599,2019-01-22 04:34:36.878599
67,부산법원딜리버리,부산광역시,연제구,법원로 32번길 18,051-507-1230,,1,서브웨이,2019-01-22 04:34:36.932976,2019-01-22 04:34:36.932976
68,김해삼계딜리버리,경상남도,김해시,가야로 163,055-339-4406,,1,서브웨이,2019-01-22 04:34:36.983847,2019-01-22 04:34:36.983847
69,부산명지딜리버리,부산광역시,강서구,명지오션시티4로 61,051-203-6767,,1,서브웨이,2019-01-22 04:34:37.046505,2019-01-22 04:34:37.046505
70,김해인제대딜리버리,경상남도,김해시,인제로 184 1층,055-325-5226,,1,서브웨이,2019-01-22 04:34:37.099244,2019-01-22 04:34:37.099244
71,부산정관딜리버리,부산광역시,기장군,정관읍 정관로 565,051-727-9900,,1,서브웨이,2019-01-22 04:34:37.431859,2019-01-22 04:34:37.431859
72,부산덕천딜리버리,부산광역시,북구,덕천1길 22,051-337-0217,,1,서브웨이,2019-01-22 04:34:37.502746,2019-01-22 04:34:37.502746
73,김해율하딜리버리,경상남도,김해시,율하3로 42,055-311-3940,,1,서브웨이,2019-01-22 04:34:37.566542,2019-01-22 04:34:37.566542
74,부산양정딜리버리,부산광역시,부산진구,양지로 4,051-868-7937,,1,서브웨이,2019-01-22 04:34:37.615317,2019-01-22 04:34:37.615317
75,부산주례딜리버리,부산광역시,사상구,가야대로 366번길 43,051-312-1588,,1,서브웨이,2019-01-22 04:34:37.679498,2019-01-22 04:34:37.679498
76,부산대역딜리버리,부산광역시,금정구,금정로 60번길 40,051-517-3331,,1,서브웨이,2019-01-22 04:34:37.732348,2019-01-22 04:34:37.732348
77,부산센텀딜리버리,부산광역시,해운대구,센텀5로 55,051-741-6777,,1,서브웨이,2019-01-22 04:34:37.793859,2019-01-22 04:34:37.793859
78,부산경성대딜리버리,부산광역시,남구,수영로 325번길 12,051-625-5617,,1,서브웨이,2019-01-22 04:34:37.861512,2019-01-22 04:34:37.861512
79,부산서면롯데딜리버리,부산광역시,부산진구,가야대로 784번길 23,051-809-8337,,1,서브웨이,2019-01-22 04:34:37.930184,2019-01-22 04:34:37.930184
80,부산해운대비치딜리버리,부산광역시,해운대구,구남로 42-1,051-731-2234,,1,서브웨이,2019-01-22 04:34:37.979821,2019-01-22 04:34:37.979821
81,부산사직딜리버리,부산광역시,동래구,사직북로 7,051-507-8434,,1,서브웨이,2019-01-22 04:34:38.355102,2019-01-22 04:34:38.355102
82,부산중앙딜리버리,부산광역시,중구,중앙대로 102,051-462-6200,,1,서브웨이,2019-01-22 04:34:38.440633,2019-01-22 04:34:38.440633
83,김해내동딜리버리,경상남도,김해시,내외중앙로 74,055-337-7735,,1,서브웨이,2019-01-22 04:34:38.483982,2019-01-22 04:34:38.483982
84,부산광안비치딜리버리,부산광역시,수영구,광안해변로 239,051-757-2232,,1,서브웨이,2019-01-22 04:34:38.558391,2019-01-22 04:34:38.558391
85,부산대딜리버리,부산광역시,금정구,부산대학로 48,051-513-3331,,1,서브웨이,2019-01-22 04:34:38.618106,2019-01-22 04:34:38.618106
86,부산화명딜리버리,부산광역시,북구,화명신도시로 130,051-361-1015,,1,서브웨이,2019-01-22 04:34:38.705325,2019-01-22 04:34:38.705325
87,부산동아대딜리버리,부산광역시,사하구,낙동대로 542,070-887-6604,,1,서브웨이,2019-01-22 04:34:38.772016,2019-01-22 04:34:38.772016
88,부산부경대딜리버리,부산광역시,남구,용소로 24,051-611-5617,,1,서브웨이,2019-01-22 04:34:38.846096,2019-01-22 04:34:38.846096
89,부산광복딜리버리,부산광역시,중구,광복중앙로 3-1,051-246-7789,,1,서브웨이,2019-01-22 04:34:38.942751,2019-01-22 04:34:38.942751
90,부산서면딜리버리,부산광역시,부산진구,중앙대로 690,051-802-9404,,1,서브웨이,2019-01-22 04:34:39.010556,2019-01-22 04:34:39.010556
91,창원대방딜리버리,경상남도,창원시,성산구 가양로 124번길 5-5 103호,055-274-7375,,1,서브웨이,2019-01-22 04:34:39.359114,2019-01-22 04:34:39.359114
92,진해석동딜리버리,경상남도,창원시,진해구 냉천로 62,055-552-2861,,1,서브웨이,2019-01-22 04:34:39.430768,2019-01-22 04:34:39.430768
93,마산경남대딜리버리,경상남도,창원시,마산합포구 3.15대로 1,055-246-3555,,1,서브웨이,2019-01-22 04:34:39.491053,2019-01-22 04:34:39.491053
94,창원용지호수딜리버리,경상남도,창원시,의창구 용지로 169번길 3,055-281-5353,,1,서브웨이,2019-01-22 04:34:39.577963,2019-01-22 04:34:39.577963
95,창원리베라딜리버리,경상남도,창원시,성산구 중앙대로100번길 9 리베라컨벤션 1층 107호,055-262-6985,,1,서브웨이,2019-01-22 04:34:39.644368,2019-01-22 04:34:39.644368
96,통영문화마당딜리버리,경상남도,통영시,통영해안로 317-1,055-641-0760,,1,서브웨이,2019-01-22 04:34:39.712286,2019-01-22 04:34:39.712286
97,울산일산딜리버리,제주특별자치시,동구,방어진순환도로 662,052-252-8000,,1,서브웨이,2019-01-22 04:34:39.778882,2019-01-22 04:34:39.778882
98,창원상남딜리버리,경상남도,창원시,성산구 단정로 25,055-275-4756,,1,서브웨이,2019-01-22 04:34:39.842953,2019-01-22 04:34:39.842953
99,마산합성딜리버리,경상남도,창원시,마산회원구 합성옛길 137,055-253-0202,,1,서브웨이,2019-01-22 04:34:39.909421,2019-01-22 04:34:39.909421
100,경남거창딜리버리,경상남도,거창군,거창읍 중앙로 120,055-945-0020,,1,서브웨이,2019-01-22 04:34:39.999791,2019-01-22 04:34:39.999791
101,울산성남딜리버리,제주특별자치시,중구,시계탑거리 17,052-246-5078,,1,서브웨이,2019-01-22 04:34:40.342880,2019-01-22 04:34:40.342880
102,진주중안딜리버리,경상남도,진주시,진양호로 525,055-748-9994,,1,서브웨이,2019-01-22 04:34:40.447980,2019-01-22 04:34:40.447980
103,울산공업탑딜리버리,제주특별자치시,남구,삼산로 11,052-267-2121,,1,서브웨이,2019-01-22 04:34:40.539115,2019-01-22 04:34:40.539115
104,진주경상대딜리버리,경상남도,진주시,진주대로 548,055-755-3477,,1,서브웨이,2019-01-22 04:34:40.663357,2019-01-22 04:34:40.663357
105,울산무거딜리버리,제주특별자치시,남구,대학로 108,052-249-5008,,1,서브웨이,2019-01-22 04:34:40.844576,2019-01-22 04:34:40.844576
106,울산삼산딜리버리,제주특별자치시,남구,삼산로 267번길 6-15,052-227-7700,,1,서브웨이,2019-01-22 04:34:40.919254,2019-01-22 04:34:40.919254
107,경남남양산딜리버리,경상남도,양산시,물금읍 범어로 60,055-367-7888,,1,서브웨이,2019-01-22 04:34:40.998183,2019-01-22 04:34:40.998183
108,거제아주딜리버리,경상남도,거제시,아주1로2길 62,055-681-5952,,1,서브웨이,2019-01-22 04:34:41.066292,2019-01-22 04:34:41.066292
109,울산달동딜리버리,제주특별자치시,남구,신정로 37,052-266-5007,,1,서브웨이,2019-01-22 04:34:41.142577,2019-01-22 04:34:41.142577
110,경남양산딜리버리,경상남도,양산시,양산역2길 3,055-381-1100,,1,서브웨이,2019-01-22 04:34:41.200817,2019-01-22 04:34:41.200817
111,아산배방딜리버리,충청남도,아산시,배방읍 모산로 123,041-532-8220,,1,서브웨이,2019-01-22 04:34:41.509599,2019-01-22 04:34:41.509599
112,대전태평딜리버리,대전광역시,중구,태평로 71,042-300-7707,,1,서브웨이,2019-01-22 04:34:41.571796,2019-01-22 04:34:41.571796
113,대전유성터미널딜리버리,대전광역시,유성구,계룡로 42-1,042-822-7006,,1,서브웨이,2019-01-22 04:34:41.637627,2019-01-22 04:34:41.637627
114,대전목원대딜리버리,대전광역시,서구,도안북로 93번길 31,042-825-4080,,1,서브웨이,2019-01-22 04:34:41.688547,2019-01-22 04:34:41.688547
115,대전전민딜리버리,대전광역시,유성구,유성대로 1732,042-867-6841,,1,서브웨이,2019-01-22 04:34:41.782480,2019-01-22 04:34:41.782480
116,대전한남대딜리버리,대전광역시,대덕구,한남로 25번길 5,042-621-6213,,1,서브웨이,2019-01-22 04:34:41.844208,2019-01-22 04:34:41.844208
117,대전가오딜리버리,대전광역시,동구,동구청로 95,042-272-9085,,1,서브웨이,2019-01-22 04:34:41.901515,2019-01-22 04:34:41.901515
118,대전우송대딜리버리,대전광역시,동구,동대전광역시로 168,042-622-5979,,1,서브웨이,2019-01-22 04:34:41.963743,2019-01-22 04:34:41.963743
119,대전카이스트딜리버리,대전광역시,유성구,대학로 291 정문술빌딩 1층,042-863-7001 ,,1,서브웨이,2019-01-22 04:34:42.039887,2019-01-22 04:34:42.039887
120,천안역딜리버리,충청남도,천안시,동남구 대흥로 228 삼영빌딩 104호,041-555-0071,,1,서브웨이,2019-01-22 04:34:42.125241,2019-01-22 04:34:42.125241
121,대전충남대정문딜리버리,대전광역시,유성구,한밭대로 414,042-824-1003 ,,1,서브웨이,2019-01-22 04:34:42.465540,2019-01-22 04:34:42.465540
122,천안신불당딜리버리,충청남도,천안시,서북구 불당25로 138,041-558-0017,,1,서브웨이,2019-01-22 04:34:42.560874,2019-01-22 04:34:42.560874
123,대전오류딜리버리,대전광역시,중구,계백로 1715 102호,042-528-4312,,1,서브웨이,2019-01-22 04:34:42.639334,2019-01-22 04:34:42.639334
124,대전월평선사딜리버리,대전광역시,서구,월평북로 95,042-486-1363,,1,서브웨이,2019-01-22 04:34:42.772752,2019-01-22 04:34:42.772752
125,대전탄방딜리버리,대전광역시,서구,문정로 88,042-488-6013,,1,서브웨이,2019-01-22 04:34:42.838131,2019-01-22 04:34:42.838131
126,대전노은딜리버리,대전광역시,유성구,노은로 150,042-822-4042,,1,서브웨이,2019-01-22 04:34:42.929747,2019-01-22 04:34:42.929747
127,공주신관딜리버리,충청남도,공주시,흑수골길 35,041-881-1124,,1,서브웨이,2019-01-22 04:34:43.001489,2019-01-22 04:34:43.001489
128,아산터미널딜리버리,충청남도,아산시,번영로224번길 4,041-548-8484,,1,서브웨이,2019-01-22 04:34:43.048776,2019-01-22 04:34:43.048776
129,대전용문딜리버리,대전광역시,서구,계룡로 626,042-525-2991,,1,서브웨이,2019-01-22 04:34:43.114519,2019-01-22 04:34:43.114519
130,대전시청딜리버리,대전광역시,서구,둔산로 130 1층 111호,042-489-1117,,1,서브웨이,2019-01-22 04:34:43.202517,2019-01-22 04:34:43.202517
131,세종정부청사딜리버리,세종특별자치시,절재로,194,044-866-8999,,1,서브웨이,2019-01-22 04:34:43.563228,2019-01-22 04:34:43.563228
132,아산온양딜리버리,충청남도,아산시,온궁로 24-2,041-544-2700,,1,서브웨이,2019-01-22 04:34:43.615853,2019-01-22 04:34:43.615853
133,천안두정딜리버리,충청남도,천안시,서북구 두정로 165,041-555-2992,,1,서브웨이,2019-01-22 04:34:43.686043,2019-01-22 04:34:43.686043
134,천안쌍용딜리버리,충청남도,천안시,서북구 월봉로 79,041-572-4466,,1,서브웨이,2019-01-22 04:34:43.757615,2019-01-22 04:34:43.757615
135,대전관저딜리버리,대전광역시,서구,관저로 142,042-543-0303 ,,1,서브웨이,2019-01-22 04:34:43.881278,2019-01-22 04:34:43.881278
136,대전관평딜리버리,제주특별자치시,관들1길,49,042-935-5600,,1,서브웨이,2019-01-22 04:34:43.945036,2019-01-22 04:34:43.945036
137,천안성정딜리버리,충청남도,천안시,서북구 서부2길 78,041-587-2345,,1,서브웨이,2019-01-22 04:34:44.001636,2019-01-22 04:34:44.001636
138,대전둔산딜리버리,대전광역시,서구,둔산로 18,042-488-5200,,1,서브웨이,2019-01-22 04:34:44.064619,2019-01-22 04:34:44.064619
139,대전궁동딜리버리,대전광역시,유성구,궁동로18번길 10,042-822-5154,,1,서브웨이,2019-01-22 04:34:44.122268,2019-01-22 04:34:44.122268
140,천안신부딜리버리,충청남도,천안시,동남구 만남로 22,041-569-0003,,1,서브웨이,2019-01-22 04:34:44.167653,2019-01-22 04:34:44.167653
141,부천위브더스테이트딜리버리,경기도,부천시,신흥로 170,032-611-0420,,1,서브웨이,2019-01-22 04:34:44.531865,2019-01-22 04:34:44.531865
142,광명사거리역딜리버리,경기도,광명시,광명로 892-1,02-2682-2111,,1,서브웨이,2019-01-22 04:34:44.616030,2019-01-22 04:34:44.616030
143,부천역곡역딜리버리,경기도,부천시,부일로 725,032-876-4908,,1,서브웨이,2019-01-22 04:34:44.682487,2019-01-22 04:34:44.682487
144,광명소하딜리버리,경기도,광명시,금하로 464,02-899-6747,,1,서브웨이,2019-01-22 04:34:44.751917,2019-01-22 04:34:44.751917
145,광명철산역딜리버리,경기도,광명시,철산로 15,02-2611-8006,,1,서브웨이,2019-01-22 04:34:44.822550,2019-01-22 04:34:44.822550
146,일산행신딜리버리,경기도,고양시,덕양구 충장로 11,031-994-8929,,1,서브웨이,2019-01-22 04:34:44.877188,2019-01-22 04:34:44.877188
147,김포장기동딜리버리,경기도,김포시,김포한강4로 118,031-987-3824,,1,서브웨이,2019-01-22 04:34:44.906105,2019-01-22 04:34:44.906105
148,시흥정왕딜리버리,경기도,시흥시,중심상가로 195,031-433-0036,,1,서브웨이,2019-01-22 04:34:45.049641,2019-01-22 04:34:45.049641
149,인천완정역딜리버리,인천광역시,서구,서곶로 837,032-564-0837,,1,서브웨이,2019-01-22 04:34:45.139464,2019-01-22 04:34:45.139464
150,일산고양삼송딜리버리,경기도,고양시,덕양구 권율대로 901,02-381-9257,,1,서브웨이,2019-01-22 04:34:45.219588,2019-01-22 04:34:45.219588
151,인천인하대딜리버리,인천광역시,남구,인하로 100,070-8835-3277,,1,서브웨이,2019-01-22 04:34:45.571524,2019-01-22 04:34:45.571524
152,일산대화역딜리버리,경기도,고양시,일산서구 중앙로 1581,031-915-1995,,1,서브웨이,2019-01-22 04:34:45.632794,2019-01-22 04:34:45.632794
153,인천모래내시장역딜리버리,인천광역시,남동구,호구포로 818 퍼스트하임프라자 1층,032-466-5882,,1,서브웨이,2019-01-22 04:34:45.693370,2019-01-22 04:34:45.693370
154,일산후곡 딜리버리,경기도,고양시,일산서구 일산로 539,031-924-7738,,1,서브웨이,2019-01-22 04:34:45.745483,2019-01-22 04:34:45.745483
155,시흥배곧신도시딜리버리,경기도,시흥시,배곧3로 96,031-433-1301,,1,서브웨이,2019-01-22 04:34:45.805522,2019-01-22 04:34:45.805522
156,일산백마학원가딜리버리,경기도,고양시,일산동구 일산로 233,031-902-5250,,1,서브웨이,2019-01-22 04:34:45.869920,2019-01-22 04:34:45.869920
157,일산고양터미널딜리버리,경기도,고양시,일산동구 중앙로 1036 1층,031-936-7497,,1,서브웨이,2019-01-22 04:34:45.940403,2019-01-22 04:34:45.940403
158,김포라베니체마치에비뉴딜리버리,경기도,김포시,김포한강2로23번길 72 2층 213호,031-981-0802,,1,서브웨이,2019-01-22 04:34:46.013335,2019-01-22 04:34:46.013335
159,인천주안역딜리버리,인천광역시,남구,주안로 89,032-876-4909,,1,서브웨이,2019-01-22 04:34:46.084590,2019-01-22 04:34:46.084590
160,인천운서메가스타딜리버리,인천광역시,중구,신도시남로142번길 6,032-746-4538,,1,서브웨이,2019-01-22 04:34:46.134211,2019-01-22 04:34:46.134211
161,일산탄현딜리버리,경기도,고양시,일산서구 일현로 97-11,031-913-7977,,1,서브웨이,2019-01-22 04:34:46.466648,2019-01-22 04:34:46.466648
162,부천시청딜리버리,경기도,부천시,석천로169번길 22,032-321-3277,,1,서브웨이,2019-01-22 04:34:46.539653,2019-01-22 04:34:46.539653
163,인천계산역딜리버리,인천광역시,계양구,경명대로 1055,032-547-5550,,1,서브웨이,2019-01-22 04:34:46.607706,2019-01-22 04:34:46.607706
164,인천구월동로데오딜리버리,인천광역시,남동구,구월동 1454-1(예술로 140번길 33) 화성빌딩 102호,032-432-7999,,1,서브웨이,2019-01-22 04:34:46.665529,2019-01-22 04:34:46.665529
165,일산주엽역딜리버리,경기도,고양시,일산서구 중앙로 1415,031-915-7649,,1,서브웨이,2019-01-22 04:34:46.729627,2019-01-22 04:34:46.729627
166,인천부평중앙딜리버리,인천광역시,부평구,부평문화로 63, 032-521-6789 ,,1,서브웨이,2019-01-22 04:34:46.785736,2019-01-22 04:34:46.785736
167,인천계양구청딜리버리,인천광역시,계양구,계산새로 85,032-551-0886,,1,서브웨이,2019-01-22 04:34:46.848176,2019-01-22 04:34:46.848176
168,인천삼산딜리버리,인천광역시,부평구,체육관로 24,032-507-7883,,1,서브웨이,2019-01-22 04:34:46.922780,2019-01-22 04:34:46.922780
169,인천연수딜리버리,인천광역시,연수구,먼우금로 194 메카오피스텔,032-815-7707,,1,서브웨이,2019-01-22 04:34:47.000054,2019-01-22 04:34:47.000054
170,일산마두역딜리버리,경기도,고양시,일산동구 장항동 890-5 굿모닝 법조타운 제 1층 101호 (중앙로 1191),031-906-3226,,1,서브웨이,2019-01-22 04:34:47.106449,2019-01-22 04:34:47.106449
